"","year","chamber","District","Prez_Dem","Prez_Repub","Gub_Dem","Gub_Repub","US_Sen_Dem","US_Sen_Repub","US_Sen2_Dem","US_Sen2_Repub"
"304",1978,"HS",24,NA,NA,58100,30066,NA,NA,NA,NA
"305",1978,"HS",25,NA,NA,48462,20400,NA,NA,NA,NA
"306",1978,"HS",26,NA,NA,42242,29385,NA,NA,NA,NA
"307",1978,"HS",27,NA,NA,44496,29698,NA,NA,NA,NA
"308",1978,"HS",28,NA,NA,60684,34747,NA,NA,NA,NA
"309",1978,"HS",29,NA,NA,43269,37944,NA,NA,NA,NA
"310",1978,"HS",30,NA,NA,40473,24559,NA,NA,NA,NA
"311",1978,"HS",31,NA,NA,45508,39552,NA,NA,NA,NA
"312",1978,"HS",32,NA,NA,33160,30823,NA,NA,NA,NA
"313",1978,"HS",33,NA,NA,37548,32391,NA,NA,NA,NA
"314",1978,"HS",34,NA,NA,39700,37800,NA,NA,NA,NA
"315",1978,"HS",35,NA,NA,56814,35532,NA,NA,NA,NA
"316",1978,"HS",36,NA,NA,49675,33098,NA,NA,NA,NA
"317",1978,"HS",37,NA,NA,42885,44518,NA,NA,NA,NA
"318",1978,"HS",38,NA,NA,53377,50555,NA,NA,NA,NA
"319",1978,"HS",39,NA,NA,36555,25227,NA,NA,NA,NA
"320",1978,"HS",40,NA,NA,44540,28507,NA,NA,NA,NA
"321",1978,"HS",41,NA,NA,36072,41820,NA,NA,NA,NA
"322",1978,"HS",42,NA,NA,43933,42864,NA,NA,NA,NA
"323",1978,"HS",43,NA,NA,67290,40052,NA,NA,NA,NA
"324",1978,"HS",44,NA,NA,60035,27313,NA,NA,NA,NA
"325",1978,"HS",45,NA,NA,64008,25206,NA,NA,NA,NA
"326",1978,"HS",46,NA,NA,35107,16018,NA,NA,NA,NA
"327",1978,"HS",47,NA,NA,35820,5657,NA,NA,NA,NA
"328",1978,"HS",48,NA,NA,35136,7099,NA,NA,NA,NA
"329",1978,"HS",49,NA,NA,59779,16062,NA,NA,NA,NA
"330",1978,"HS",50,NA,NA,46619,14180,NA,NA,NA,NA
"331",1978,"HS",51,NA,NA,42942,43418,NA,NA,NA,NA
"332",1978,"HS",52,NA,NA,35464,25701,NA,NA,NA,NA
"333",1978,"HS",53,NA,NA,35080,16580,NA,NA,NA,NA
"334",1978,"HS",54,NA,NA,32807,9907,NA,NA,NA,NA
"335",1978,"HS",55,NA,NA,32176,13367,NA,NA,NA,NA
"336",1978,"HS",56,NA,NA,24285,5567,NA,NA,NA,NA
"337",1978,"HS",57,NA,NA,36470,21508,NA,NA,NA,NA
"338",1978,"HS",58,NA,NA,48270,36897,NA,NA,NA,NA
"339",1978,"HS",59,NA,NA,44204,21353,NA,NA,NA,NA
"340",1978,"HS",60,NA,NA,29422,14780,NA,NA,NA,NA
"341",1978,"HS",61,NA,NA,36257,43229,NA,NA,NA,NA
"342",1978,"HS",62,NA,NA,41970,40351,NA,NA,NA,NA
"343",1978,"HS",63,NA,NA,37632,28106,NA,NA,NA,NA
"344",1978,"HS",64,NA,NA,41054,41569,NA,NA,NA,NA
"345",1978,"HS",65,NA,NA,36716,28487,NA,NA,NA,NA
"346",1978,"HS",66,NA,NA,42181,21175,NA,NA,NA,NA
"347",1978,"HS",67,NA,NA,50970,47021,NA,NA,NA,NA
"348",1978,"HS",68,NA,NA,50137,30235,NA,NA,NA,NA
"349",1978,"HS",69,NA,NA,46095,40667,NA,NA,NA,NA
"350",1978,"HS",70,NA,NA,51158,51532,NA,NA,NA,NA
"351",1978,"HS",71,NA,NA,45363,32497,NA,NA,NA,NA
"352",1978,"HS",72,NA,NA,37933,26834,NA,NA,NA,NA
"353",1978,"HS",73,NA,NA,58406,50666,NA,NA,NA,NA
"354",1978,"HS",74,NA,NA,68213,76914,NA,NA,NA,NA
"355",1978,"HS",75,NA,NA,50127,48759,NA,NA,NA,NA
"356",1978,"HS",76,NA,NA,88296,71070,NA,NA,NA,NA
"357",1978,"HS",77,NA,NA,63129,38977,NA,NA,NA,NA
"358",1978,"HS",78,NA,NA,58027,29714,NA,NA,NA,NA
"359",1978,"HS",79,NA,NA,42017,15415,NA,NA,NA,NA
"360",1978,"HS",80,NA,NA,48285,24773,NA,NA,NA,NA
"361",1980,"SEN",1,93410,170723,NA,NA,143833,118014,NA,NA
"362",1980,"SEN",2,100445,129321,NA,NA,163235,84274,NA,NA
"363",1980,"SEN",3,99984,122700,NA,NA,138584,88617,NA,NA
"364",1980,"SEN",4,101344,127244,NA,NA,153905,83210,NA,NA
"365",1980,"SEN",5,91488,47846,NA,NA,126774,27562,NA,NA
"366",1980,"SEN",6,83985,83279,NA,NA,124445,44945,NA,NA
"367",1980,"SEN",7,99804,122924,NA,NA,153652,81372,NA,NA
"368",1980,"SEN",8,84116,79565,NA,NA,115293,55855,NA,NA
"369",1980,"SEN",9,106868,70768,NA,NA,144275,47942,NA,NA
"370",1980,"SEN",10,80888,107732,NA,NA,144242,61578,NA,NA
"371",1980,"SEN",11,81954,117032,NA,NA,135164,74917,NA,NA
"372",1980,"SEN",12,70278,104057,NA,NA,118963,71140,NA,NA
"373",1980,"SEN",13,88994,137956,NA,NA,127953,99138,NA,NA
