case	year	chamber	District	prez_party	mid_penalty	Dem	Repub	incumbent
522	1970	HS	68	-1	-1	0	18599	0
523	1982	HS	68	-1	-1	44945	38659	0
524	1986	HS	68	-1	-1	0	42301	0
525	2002	HS	68	-1	-1	23721	0	0
526	1970	HS	69	-1	-1	55399	0	1
527	1974	HS	69	-1	-1	36017	0	0
528	1986	HS	69	-1	-1	30091	70377	-1
529	1990	HS	69	-1	-1	37458	64384	-1
530	2002	HS	69	-1	-1	25392	13487	1
531	2006	HS	69	-1	-1	28339	14854	0
532	1970	HS	70	-1	-1	0	82156	-1
533	1974	HS	70	-1	-1	0	54668	0
534	1986	HS	70	-1	-1	34265	89731	-1
535	1990	HS	70	-1	-1	50418	92531	-1
536	2002	HS	70	-1	-1	0	73880	-1
537	1970	HS	71	-1	-1	37559	0	0
538	1974	HS	71	-1	-1	37060	0	0
539	1982	HS	71	-1	-1	0	48103	0
540	1986	HS	71	-1	-1	29711	0	0
541	1990	HS	71	-1	-1	31935	48923	-1
542	2002	HS	71	-1	-1	25770	69764	0
543	1970	HS	72	-1	-1	47815	19924	1
544	1974	HS	72	-1	-1	0	23084	0
545	2002	HS	72	-1	-1	22236	0	0
546	2006	HS	72	-1	-1	0	55664	0
547	1970	HS	73	-1	-1	0	59927	-1
548	1974	HS	73	-1	-1	47344	48964	-1
549	1982	HS	73	-1	-1	37196	66241	-1
550	1990	HS	73	-1	-1	54716	70161	-1
551	2002	HS	73	-1	-1	0	64271	-1
552	2006	HS	73	-1	-1	0	75600	-1
553	1970	HS	74	-1	-1	32822	0	0
554	1974	HS	74	-1	-1	37735	70418	-1
555	1990	HS	74	-1	-1	38386	69856	-1
556	2002	HS	74	-1	-1	36315	0	0
557	2006	HS	74	-1	-1	52747	72980	0
558	2002	HS	75	-1	-1	0	64452	0
559	2006	HS	75	-1	-1	52881	0	0
560	1970	HS	76	-1	-1	0	71082	-1
561	1974	HS	76	-1	-1	40600	78613	0
562	1986	HS	76	-1	-1	0	79687	-1
563	1990	HS	76	-1	-1	39304	0	0
564	2002	HS	76	-1	-1	63682	0	1
565	2006	HS	76	-1	-1	73932	39560	1
566	1970	HS	77	-1	-1	50667	0	1
567	1974	HS	77	-1	-1	55921	0	1
568	1982	HS	77	-1	-1	0	88315	-1
569	1986	HS	77	-1	-1	23373	66369	-1
570	2002	HS	77	-1	-1	0	70315	-1
571	2006	HS	77	-1	-1	0	69436	0
572	1974	HS	78	-1	-1	0	28980	0
573	1982	HS	78	-1	-1	60494	0	0
574	1990	HS	78	-1	-1	0	40561	0
575	2002	HS	78	-1	-1	44247	0	0
576	2006	HS	78	-1	-1	46846	0	0
577	1970	HS	79	-1	-1	0	23128	-1
578	1974	HS	79	-1	-1	32547	0	1
579	1982	HS	79	-1	-1	44373	19562	1
580	1990	HS	79	-1	-1	31538	0	1
581	2002	HS	79	-1	-1	0	17195	0
582	2006	HS	79	-1	-1	39437	23395	0
583	1970	HS	80	-1	-1	27073	0	0
584	1974	HS	80	-1	-1	0	15547	0
585	1982	HS	80	-1	-1	52630	47136	0
586	1986	HS	80	-1	-1	39806	0	1
587	1990	HS	80	-1	-1	36146	21884	1
